BPM,SpO2,Temperature_C,Humidity_%,GSR,Angle_X,Angle_Y,Heat_Therapy_Duration,Sleep_Quality
105,91,37.65,59.84,394,-3.49,7.54,15.81,62.15
61,93,36.17,56.25,349,-4.65,2.16,0.07,88.31
75,91,35.8,65.81,36,0.89,6.3,4.12,74.59
93,96,38.25,56.93,146,6.1,0.43,18.89,68.58
72,98,37.18,36.03,434,-3.78,1.99,6.46,85.75
58,96,35.96,34.08,227,-6.2,4.02,0.0,83.28
114,95,37.88,83.51,33,-0.49,8.16,22.37,53.28
68,99,38.24,38.48,454,-8.62,-8.16,10.78,74.94
63,90,36.01,39.67,443,4.03,-3.38,0.0,88.47
107,99,37.95,48.91,236,0.37,4.18,19.3,65.76
56,98,38.3,29.76,211,-0.07,9.17,11.09,85.13
114,94,38.32,55.51,308,-3.99,9.62,21.8,52.83
98,94,38.24,66.55,139,8.09,2.76,19.92,60.75
62,95,37.14,75.02,189,-8.19,-6.13,6.71,75.6
101,98,36.57,69.8,95,7.4,-7.62,12.59,53.39
89,97,35.52,30.33,193,-2.47,8.92,3.98,65.7
90,97,35.68,51.92,469,7.61,-1.32,2.22,73.66
104,97,36.79,22.7,360,4.58,-6.1,11.63,62.39
58,90,36.7,21.25,303,-7.92,8.68,2.56,77.15
56,90,36.05,50.81,295,6.63,-7.91,0.0,80.45
60,97,36.69,37.71,151,3.64,4.59,4.42,83.14
108,94,36.02,67.84,433,-9.35,2.51,7.89,60.43
58,98,38.05,70.7,222,-7.33,-8.25,10.11,76.75
108,91,36.39,82.68,195,2.71,-3.23,12.12,62.77
117,98,37.3,73.25,87,3.25,-7.0,19.51,50.94
72,97,37.01,23.38,298,4.93,2.09,6.96,81.53
98,98,35.66,46.01,16,4.4,-0.46,8.22,65.48
88,93,38.33,39.11,487,3.19,-9.91,14.86,70.01
116,90,37.08,47.03,210,5.32,9.51,17.01,48.39
68,90,36.48,31.21,231,1.5,-3.01,4.17,85.21
102,94,35.97,26.84,357,-4.78,-4.84,7.2,64.6
69,91,36.52,56.47,182,8.25,-5.55,5.06,72.58
116,97,35.56,70.43,161,-9.64,-6.82,9.9,45.47
94,99,36.59,69.13,366,-2.67,9.98,8.59,65.14
107,94,37.09,51.57,480,4.58,-4.1,12.57,65.69
78,94,38.12,56.56,69,-1.46,-1.89,15.99,78.36
80,91,37.56,56.14,59,-9.5,7.43,13.72,60.86
114,96,35.83,68.41,178,-8.68,2.84,10.69,52.74
95,97,35.94,23.35,483,2.97,-2.63,4.39,75.44
83,99,36.78,69.69,76,9.3,7.97,10.26,59.3
69,90,36.09,60.75,494,1.04,4.99,0.0,88.14
99,91,35.58,33.87,456,0.14,-5.44,3.66,72.93
119,99,37.92,23.43,34,-3.63,2.87,23.54,53.37
63,93,35.56,27.6,417,-4.87,8.45,0.0,80.86
55,94,37.99,56.73,15,-9.58,-0.07,11.31,81.22
62,91,35.93,73.09,465,-4.54,4.67,0.0,87.24
117,90,38.42,43.43,401,-1.02,9.42,22.01,56.99
65,98,37.31,46.54,293,-6.04,3.81,7.13,81.54
62,90,37.7,85.39,497,-8.25,-7.95,6.45,79.49
89,93,35.83,34.91,170,4.35,-5.11,5.76,67.54
89,91,38.09,27.26,31,7.89,1.9,18.42,64.37
87,93,38.02,44.04,262,8.74,-4.49,15.37,65.87
59,97,37.46,72.21,214,2.36,9.15,7.45,80.97
95,97,37.01,63.83,470,-8.94,-1.89,9.83,68.9
82,98,37.66,49.11,45,4.82,-0.86,14.77,73.09
61,94,35.52,87.53,188,-7.8,4.03,0.0,79.06
66,96,37.28,71.45,273,3.39,0.48,7.36,87.8
88,92,38.04,24.33,70,5.59,-2.36,17.61,67.87
87,99,36.57,72.12,489,4.52,-8.47,5.86,70.7
102,93,35.82,21.68,295,9.04,1.93,7.07,61.74
77,99,36.76,65.52,87,4.76,7.35,8.84,68.7
116,98,37.68,34.73,333,3.86,3.72,18.78,59.56
91,99,35.82,68.75,433,-4.77,-2.37,3.48,74.6
98,99,36.12,41.68,260,8.5,-7.45,8.09,57.07
89,90,35.94,81.11,493,-6.41,6.33,3.08,70.08
119,91,37.89,43.58,181,8.1,8.83,21.94,43.8
101,94,35.69,63.38,341,-3.75,-2.23,5.73,69.14
57,92,37.56,40.01,441,-7.4,4.57,5.29,85.96
55,91,36.6,84.21,21,6.53,-1.78,4.29,82.94
59,90,37.77,74.67,73,-9.95,0.05,10.41,79.97
68,99,38.39,37.03,89,6.64,6.73,15.18,71.73
81,92,35.84,86.42,334,-4.75,-8.33,2.58,70.48
63,90,36.44,45.0,165,7.69,0.61,3.67,81.84
69,90,37.93,65.63,488,3.83,-5.71,9.07,83.82
96,90,36.3,72.0,233,3.32,-3.2,8.86,68.83
105,97,36.15,21.6,374,-2.69,2.89,8.49,68.28
117,92,37.98,87.13,432,-8.81,-9.46,19.46,48.22
106,90,38.46,44.11,128,6.6,1.88,22.73,59.39
58,96,37.17,33.28,333,-6.58,-4.33,4.62,84.56
77,99,36.33,79.55,291,-2.55,3.39,4.66,80.19
69,92,36.7,69.2,94,2.01,-7.17,6.84,76.37
97,97,36.01,26.07,27,-0.35,4.72,9.68,65.95
83,93,37.79,28.19,353,-6.03,2.91,12.5,74.83
90,93,37.82,70.06,34,-7.19,9.42,17.26,55.74
67,94,38.13,25.23,443,-7.54,8.22,10.1,76.45
86,95,35.58,84.2,230,7.26,-4.33,3.3,67.69
113,96,37.19,71.91,317,-9.37,-9.45,15.86,47.25
82,93,36.14,43.48,342,9.54,3.11,4.19,70.66
96,97,36.52,45.41,429,-6.03,2.06,8.02,70.88
99,95,37.85,55.45,363,-7.79,-9.45,15.94,57.07
116,90,36.08,45.27,466,1.54,-7.55,9.42,60.42
111,90,37.42,74.84,124,-8.4,1.69,18.54,54.87
60,98,37.46,88.23,465,2.05,8.24,5.17,86.96
82,99,38.36,60.92,78,7.01,8.13,17.93,62.39
82,95,37.83,51.22,380,-9.04,-6.97,12.23,67.39
98,99,37.91,35.59,60,6.0,-2.31,19.05,62.23
84,97,37.09,65.74,448,-2.11,-9.14,8.29,73.46
116,96,36.06,67.99,216,-6.81,-0.61,11.84,57.41
116,95,36.78,67.96,281,-6.48,5.06,14.77,53.77
55,93,37.15,21.89,162,8.38,5.8,5.62,78.73
81,96,37.54,82.94,56,-7.79,-0.02,13.82,71.25
116,98,37.32,43.67,462,7.34,-8.08,15.7,52.74
57,99,36.68,72.09,190,0.88,-2.37,3.41,91.39
81,99,36.3,73.19,131,-9.22,8.64,6.87,60.69
63,96,36.0,65.54,462,-0.71,-5.41,0.0,90.4
116,90,37.58,47.64,41,6.35,-3.6,21.2,50.88
91,99,37.44,62.59,485,4.52,4.94,11.03,72.85
105,98,37.56,22.81,172,-0.22,4.67,17.59,65.06
98,93,36.62,73.33,166,7.2,8.24,11.53,55.79
78,92,36.29,26.97,249,-7.59,-2.24,5.05,74.18
113,93,37.78,47.77,192,8.2,0.29,20.08,57.15
86,93,37.82,27.25,277,6.93,-0.65,14.03,73.44
106,99,36.87,78.6,394,4.17,8.56,12.09,59.62
116,91,37.34,58.52,237,6.36,5.39,18.01,52.65
112,90,36.62,68.37,229,0.88,6.63,13.71,59.57
106,99,37.61,67.78,164,3.5,-7.34,18.09,57.27
66,90,38.01,78.91,242,1.21,5.84,11.32,83.38
93,97,37.56,29.28,89,-2.89,-1.34,16.03,70.2
56,91,37.04,66.18,178,1.38,-9.53,5.11,82.47
57,99,36.88,60.26,474,-4.85,-8.8,1.54,84.6
110,94,37.43,22.16,57,-1.19,3.56,19.06,60.44
113,93,37.54,34.1,460,-4.38,-2.56,16.2,64.37
56,97,37.18,38.73,262,-7.54,7.36,4.96,79.35
56,91,37.37,25.08,135,-3.56,4.69,7.22,84.8
108,99,35.79,44.83,237,7.04,-9.57,8.68,50.81
55,98,38.36,21.9,306,-2.38,3.74,10.22,91.28
73,96,37.87,58.72,242,4.96,-6.15,12.04,75.0
56,96,36.62,34.81,150,-6.5,-1.55,3.31,85.35
107,90,37.19,40.09,345,-1.51,2.49,14.39,68.59
98,91,35.64,83.73,363,-7.7,7.45,4.68,60.07
86,93,35.62,55.2,246,-7.23,-0.88,3.36,72.19
86,93,36.25,38.83,218,2.35,6.17,6.78,71.14
109,92,37.57,61.89,8,2.15,5.66,20.07,56.29
110,96,38.06,34.12,429,-5.73,-1.71,18.49,64.65
71,97,37.18,25.21,293,-0.51,0.02,7.66,89.72
92,91,37.1,21.46,366,7.27,4.01,10.72,67.79
78,93,36.71,86.61,12,-6.52,-9.38,9.51,62.17
65,92,35.98,70.72,262,-9.62,7.82,0.8,71.82
70,91,35.86,76.0,394,3.04,5.4,0.0,82.76
113,95,37.78,88.66,457,-8.93,-5.01,17.44,55.91
57,93,38.28,85.21,224,9.6,9.62,11.07,72.91
74,95,36.87,71.58,230,2.19,-6.41,7.37,77.27
113,91,37.48,68.58,177,-0.59,8.28,18.72,56.39
90,93,38.24,43.58,246,-1.4,-3.51,17.26,74.03
73,95,35.77,27.28,66,1.46,5.26,3.29,76.75
73,94,37.81,60.16,296,-8.19,-0.87,11.2,78.55
74,92,37.35,60.34,156,8.6,4.73,10.49,70.12
106,97,37.3,86.66,164,2.51,-6.88,16.54,59.0
87,96,36.38,50.98,183,-6.32,-4.61,7.96,67.04
94,92,37.55,68.36,492,1.25,-8.0,12.14,71.73
93,95,37.88,60.25,207,-7.33,7.3,16.45,60.07
55,93,35.84,32.37,15,-9.65,-4.07,0.54,76.33
65,94,37.1,61.44,299,2.61,3.89,6.01,85.68
111,94,35.8,57.81,305,2.97,6.4,8.67,59.35
104,96,38.12,54.57,490,1.67,8.03,16.99,66.16
77,94,37.02,55.94,240,-6.33,-7.87,8.61,69.25
85,92,37.92,31.48,454,2.07,7.86,12.58,74.67
96,99,36.6,52.44,462,-8.87,-6.05,8.1,63.33
61,94,35.88,62.4,229,2.18,4.74,0.0,85.77
70,96,35.62,54.26,389,1.08,4.58,0.0,85.99
114,94,36.34,54.21,17,3.11,-9.83,14.85,47.82
56,94,36.23,25.43,146,7.91,-5.59,1.4,78.72
55,98,37.18,33.35,243,7.01,-0.16,4.98,88.76
102,92,35.57,42.47,50,9.61,-1.6,8.23,56.55
66,95,37.06,49.35,449,9.52,8.37,4.52,74.5
91,90,36.68,61.58,258,5.45,-2.81,9.5,69.76
86,99,37.23,80.43,237,9.13,8.74,11.49,60.3
63,94,37.61,31.14,245,7.35,-0.81,8.69,83.61
73,97,37.4,21.06,344,4.55,9.29,8.67,73.77
102,94,38.45,51.45,483,-8.49,4.75,18.34,62.77
57,98,35.91,50.25,309,-9.02,6.59,0.0,78.95
74,95,36.79,58.63,48,6.75,-7.9,8.77,66.37
78,97,36.77,78.33,283,-0.21,1.72,7.14,84.34
108,99,36.75,76.17,37,6.29,-7.15,15.49,50.61
87,97,37.49,27.0,283,-3.74,-4.05,12.53,72.81
78,92,36.97,85.38,31,-2.05,2.47,10.64,76.2
90,96,37.05,27.73,242,4.0,4.52,11.34,69.61
92,96,36.8,64.42,40,8.31,-9.22,12.49,53.77
79,99,38.48,67.07,291,-8.24,0.62,15.77,75.68
72,95,38.28,67.59,102,7.23,1.31,15.29,75.8
108,96,36.42,38.57,291,5.86,-8.42,11.31,54.68
89,91,35.83,43.12,106,-3.69,0.01,6.41,73.18
115,98,38.02,58.41,245,-2.9,4.28,21.15,58.79
95,99,38.49,33.97,381,-9.07,-8.94,18.15,58.51
87,99,36.38,21.42,86,-9.69,5.21,8.93,60.35
87,90,36.57,59.35,65,-0.46,1.53,10.12,75.41
68,90,38.32,52.57,137,-8.09,6.66,14.35,71.04
75,92,37.63,65.97,325,-6.12,-5.64,10.42,74.89
102,92,36.39,30.27,199,6.94,6.67,10.84,56.66
74,90,37.24,78.86,334,1.42,-8.11,8.18,78.24
62,96,38.33,30.24,492,2.67,-1.92,9.64,93.32
61,93,37.94,82.39,92,-6.25,-6.01,11.46,76.63
71,99,37.73,51.47,446,6.57,7.52,8.87,76.51
87,91,37.71,58.49,347,7.36,4.1,12.98,69.69
102,99,36.03,82.76,277,0.47,-9.49,8.3,62.59
113,94,37.97,40.99,481,8.25,-9.81,18.16,51.45
76,95,36.33,32.73,19,6.9,-4.18,7.15,69.09
84,98,38.29,51.2,288,4.63,-7.13,15.88,69.65
92,93,36.59,37.11,398,4.68,2.61,7.89,73.21
105,91,38.07,56.95,390,-7.89,3.28,17.96,61.9
108,94,36.3,39.27,471,-4.58,8.84,8.88,59.31
62,92,37.04,80.51,89,-8.66,9.04,7.23,69.54
81,91,35.82,62.51,49,-9.83,3.18,5.31,64.87
81,90,37.48,20.02,9,-6.83,-9.89,14.01,59.62
75,99,38.01,76.38,78,7.61,-2.82,14.76,71.54
84,91,37.66,43.11,36,-5.2,0.26,15.22,72.16
82,95,37.07,42.41,58,9.4,-0.02,11.67,68.86
118,97,35.64,46.81,87,1.95,2.07,11.41,57.92
115,92,38.3,64.12,458,-5.25,9.21,20.42,54.3
102,98,37.62,50.94,103,-0.06,7.7,17.95,61.75
73,98,37.74,64.0,318,-5.62,-7.82,10.61,73.73
58,91,37.88,30.27,276,9.68,-4.68,8.76,79.29
89,97,37.74,87.91,103,6.95,6.66,15.99,61.23
118,99,36.82,71.07,253,-9.48,6.49,15.69,46.91
103,94,37.7,37.51,229,8.96,-4.49,17.31,56.94
71,93,37.38,70.69,334,4.42,4.61,8.24,80.34
98,99,38.06,60.25,462,-8.35,3.44,15.79,66.09
84,94,37.91,27.64,36,3.41,-0.53,16.48,73.99
100,93,35.62,32.47,300,2.94,-5.97,5.62,65.31
60,97,36.64,22.89,141,-5.62,7.77,4.27,76.74
91,93,35.6,76.65,42,5.17,3.56,6.3,64.87
78,99,35.81,58.62,115,-8.26,-6.62,3.98,65.45
100,95,37.3,42.17,340,-0.21,4.1,13.62,71.63
107,91,38.12,28.84,491,-9.8,4.83,17.6,58.76
114,94,35.86,53.88,83,9.37,7.74,11.77,44.13
117,95,36.85,56.77,416,5.03,-5.54,14.01,57.13
86,94,38.23,69.14,258,-6.82,9.78,16.28,62.24
87,91,37.94,87.9,359,-3.17,-6.93,14.02,71.56
72,96,37.06,50.45,86,-6.79,2.01,9.34,75.16
79,93,37.81,48.42,427,5.33,3.14,11.1,78.87
108,97,37.07,45.9,366,-8.82,-1.62,13.78,60.79
112,96,35.97,77.88,342,6.81,-0.5,9.35,62.07
100,96,35.87,30.94,346,8.84,7.82,6.41,56.93
78,98,36.07,44.07,290,3.53,2.91,3.53,79.07
86,90,36.55,70.75,408,-5.74,-0.06,6.38,78.2
101,99,38.29,21.1,95,-2.8,-7.43,21.21,59.12
77,95,37.9,40.26,254,-0.46,-9.85,12.86,74.21
81,95,36.8,64.9,341,2.09,-7.5,7.28,74.81
56,95,36.98,33.02,135,3.37,9.12,5.25,79.7
71,95,36.3,41.19,247,1.08,5.28,3.71,81.8
87,99,37.61,54.02,498,-2.97,9.34,10.99,71.68
63,96,37.91,49.54,371,7.82,-9.29,8.93,75.39
97,99,36.22,27.42,445,-8.37,3.6,6.53,66.03
102,95,35.63,85.68,485,-0.67,-9.11,4.18,66.95
93,90,37.37,23.1,401,5.51,5.64,11.95,68.14
96,92,37.19,72.48,91,-8.78,-2.38,14.73,60.42
80,91,36.71,25.0,411,4.11,-8.08,5.92,73.59
104,95,37.43,52.71,458,6.39,1.36,13.88,67.85
79,97,37.15,32.28,395,3.22,-4.4,8.11,79.26
78,92,36.25,29.88,447,-9.74,3.19,2.89,74.42
67,99,36.69,28.81,246,-6.4,3.16,4.91,79.95
114,97,36.78,51.7,257,-3.16,4.1,14.65,59.43
61,97,38.14,56.08,186,-5.33,9.85,11.54,75.01
111,94,38.38,29.34,420,9.25,-2.27,20.41,59.08
90,97,38.18,88.56,123,3.03,-0.69,18.17,72.99
99,95,37.66,38.04,259,-4.06,6.09,16.0,63.5
74,94,37.25,52.12,168,8.59,1.57,9.89,74.17
119,98,37.57,35.14,428,4.81,-9.25,17.86,52.18
62,96,38.32,54.57,364,-4.31,6.86,10.85,82.88
70,97,36.25,72.92,110,-2.42,-8.97,4.65,73.53
68,90,37.11,56.48,289,-6.01,-6.58,6.74,76.67
69,91,37.57,40.0,86,9.42,-7.96,11.28,66.36
86,97,37.54,37.39,12,0.35,-8.44,15.27,66.7
117,98,36.26,73.13,262,7.92,-9.49,12.56,45.85
105,93,37.26,28.28,287,-3.07,-8.9,14.93,58.88
79,99,37.89,45.9,22,7.22,-1.15,15.52,70.9
112,99,36.93,30.6,432,-8.92,-4.94,13.21,56.0
117,98,37.88,38.06,199,9.64,-7.47,21.31,44.95
116,93,36.58,30.69,241,8.24,3.17,14.19,53.12
76,99,38.32,82.07,238,-2.74,-5.48,14.9,76.9
112,99,37.1,71.23,302,5.49,-9.62,15.39,51.9
112,99,37.29,59.26,164,5.05,-1.63,17.7,59.27
103,98,35.59,35.71,225,8.03,-3.79,6.82,58.82
106,96,36.01,55.72,175,-3.85,-3.63,10.0,61.52
96,91,37.4,56.46,28,-0.69,-1.09,16.41,70.42
69,98,36.76,61.33,164,7.3,3.38,6.46,75.97
108,93,37.02,24.21,22,5.57,2.33,17.0,56.96
114,97,35.69,88.1,293,-2.13,8.75,8.81,55.81
62,96,38.0,52.58,476,6.91,0.35,8.15,89.8
107,96,37.85,84.86,382,-9.06,-0.55,17.35,62.61
114,97,36.06,20.69,43,5.64,-5.73,13.15,50.21
59,90,37.4,37.33,260,-5.86,5.11,6.71,82.53
60,94,37.95,27.28,179,-4.28,-7.18,10.48,79.83
101,91,37.42,73.87,295,-0.14,-0.18,14.86,75.02
109,91,36.43,42.41,138,-1.01,-1.57,13.08,65.17
94,90,37.47,78.83,333,0.41,3.17,13.31,75.37
106,94,36.13,78.27,247,0.9,8.35,9.89,60.84
70,91,36.45,66.75,240,-3.37,8.93,4.37,75.04
67,93,36.22,66.6,105,-6.5,-6.64,3.95,72.83
84,92,37.17,69.01,385,5.37,-4.76,9.3,73.54
73,92,35.82,67.16,418,-2.0,6.23,0.04,81.98
71,91,38.3,47.08,172,0.12,0.37,14.48,87.36
117,95,36.5,67.8,48,2.89,-0.94,15.92,57.86
73,91,36.16,82.82,122,8.19,4.21,4.66,71.05
112,97,36.99,43.28,34,4.15,2.04,17.51,57.25
109,97,36.33,86.14,105,-9.09,9.41,12.9,45.39
116,94,37.1,20.95,475,6.77,1.68,14.47,61.36
77,99,36.55,44.44,327,9.79,-0.68,5.36,75.48
63,96,35.9,29.25,415,-0.55,0.86,0.0,95.11
66,93,36.3,28.86,195,9.39,6.17,3.24,72.22
55,90,36.82,77.08,108,0.95,2.25,4.5,90.82
112,91,35.59,84.29,124,-0.81,2.94,9.61,61.98
55,99,37.81,74.44,326,-3.37,9.43,7.3,83.66
88,99,37.37,88.36,294,3.15,2.37,11.99,75.26
102,93,37.3,35.14,431,-5.4,-2.39,13.11,68.26
55,90,37.14,29.86,346,-7.9,3.83,3.73,85.35
70,97,37.27,56.45,36,-9.46,3.19,10.49,70.55
115,98,38.3,78.03,187,-4.15,-9.72,23.15,49.59
118,93,35.53,22.79,336,-2.08,-0.65,8.37,64.43
117,99,35.64,89.69,457,1.04,4.86,7.55,63.56
76,92,36.07,62.16,387,-4.15,-0.02,2.2,84.74
80,91,36.0,88.53,22,9.68,5.59,6.29,62.11
70,94,36.04,45.56,397,-4.17,-0.98,0.75,86.76
105,92,37.52,52.06,260,-1.18,9.67,16.48,59.68
111,99,36.88,72.67,193,-7.93,-4.14,15.16,53.87
83,96,38.48,75.49,365,-4.79,-8.16,15.83,70.27
101,95,36.18,36.31,151,-9.03,-1.4,10.09,60.0
116,90,36.43,85.09,17,1.19,0.83,15.69,59.91
70,97,38.45,80.72,26,5.02,-3.02,16.5,75.87
102,91,38.0,21.27,23,-6.09,-5.15,20.65,55.97
93,94,36.91,29.0,28,-2.64,3.44,13.37,66.76
87,98,37.16,54.73,138,-9.67,-2.46,12.34,64.71
77,97,38.03,52.27,495,6.79,2.63,11.1,80.1
64,91,36.94,69.59,145,5.6,5.58,6.56,77.48
88,98,36.12,26.28,122,-8.73,5.22,7.47,61.69
106,94,37.99,65.14,127,-2.7,-2.49,20.36,63.3
64,99,37.11,63.15,367,9.11,1.36,5.2,82.78
73,95,35.96,36.35,116,-2.16,-1.01,3.74,82.02
112,92,37.02,57.97,131,0.52,7.42,16.67,57.09
55,92,36.74,35.55,288,-2.9,7.58,2.32,85.7
58,99,38.13,30.28,205,1.92,-3.13,10.7,89.04
70,97,35.88,60.12,235,9.56,-8.17,1.54,68.43
78,99,38.13,88.42,41,9.95,-6.65,16.32,61.9
56,99,37.04,36.59,159,5.49,-2.66,5.29,85.39
86,91,36.71,44.87,251,-1.91,1.28,8.76,78.18
78,91,35.99,37.96,178,-0.11,3.14,4.25,80.66
66,94,37.6,38.65,124,-2.87,-3.37,10.47,81.99
104,95,38.28,48.29,259,9.71,3.35,20.11,57.51
89,91,36.63,69.13,275,4.16,8.75,8.68,65.51
87,94,36.22,22.72,212,-1.02,3.04,6.9,75.87
87,96,37.16,87.0,450,-9.76,-6.83,9.22,65.6
115,99,37.89,23.24,472,0.41,1.59,18.22,69.54
105,99,35.51,81.69,323,9.68,0.84,5.83,61.34
97,97,37.39,82.61,189,0.46,7.41,14.98,65.83
66,96,37.29,56.71,57,-6.35,-2.99,9.58,76.93
119,97,36.45,29.59,430,-9.56,-1.54,12.27,55.78
87,98,36.85,59.56,202,-2.91,1.97,10.15,74.69
94,94,36.24,64.0,79,8.36,0.49,9.71,63.96
97,94,37.87,80.04,442,9.93,4.38,14.83,63.17
98,99,37.4,58.56,227,8.91,-9.19,14.85,53.82
83,93,37.1,48.75,389,4.59,1.27,8.7,79.25
67,98,36.68,78.68,94,1.16,-7.57,6.35,77.9
66,94,36.37,88.67,423,1.81,-3.7,1.34,88.85
100,91,37.97,65.16,460,0.78,3.23,15.74,74.39
56,99,36.85,81.21,406,4.14,-6.85,1.91,86.93
89,97,37.0,61.91,435,-1.62,-3.82,8.97,77.67
62,96,37.06,68.29,3,3.38,4.06,8.18,80.13
80,97,36.85,68.17,164,-7.57,3.02,9.09,70.58
88,92,36.27,69.34,425,-4.69,-8.18,5.19,69.06
61,93,35.86,42.47,484,6.72,1.55,0.0,89.26
112,94,35.8,60.3,299,8.07,-7.05,8.89,51.82
83,95,37.77,61.59,480,0.78,-4.95,11.16,81.22
90,90,36.17,42.06,380,-9.37,-0.82,5.55,70.38
75,93,35.67,44.49,41,8.54,-7.81,3.43,63.7
90,99,37.89,73.36,284,4.04,9.87,15.12,63.98
64,94,35.96,60.79,228,-1.72,-6.69,0.83,82.47
78,96,37.38,30.44,402,1.97,5.63,8.96,79.93
118,94,36.52,78.63,242,-1.4,6.6,14.26,56.24
103,90,35.88,81.82,211,-0.69,9.89,8.39,60.02
90,96,36.74,52.63,415,7.74,-1.43,8.07,72.3
78,97,35.54,34.62,299,-6.78,7.48,0.83,69.87
77,96,38.02,86.33,54,-7.93,9.15,15.48,62.09
116,93,37.04,81.76,335,-9.95,-6.54,15.55,48.91
91,97,35.92,37.11,388,-3.72,-0.41,4.41,77.3
66,94,36.21,26.69,368,-7.05,-8.8,1.07,75.34
109,99,36.84,50.85,429,-5.6,2.41,12.23,64.46
67,98,36.07,67.35,459,-9.78,1.63,0.0,82.0
77,99,36.31,32.28,172,-5.46,-5.92,5.71,71.29
84,94,37.1,55.92,276,-3.35,5.96,10.06,72.36
71,90,38.0,49.78,333,-9.37,-9.25,11.36,68.81
116,98,36.71,82.34,228,2.16,6.12,14.95,56.62
67,94,37.65,50.07,405,1.38,-9.47,8.1,81.59
113,95,38.13,57.36,29,-8.06,3.14,23.46,50.64
73,93,36.15,86.87,22,1.9,-8.42,5.62,71.55
103,95,37.92,40.98,4,9.97,-4.98,20.67,50.64
66,97,37.77,40.23,62,8.89,4.44,11.94,72.25
115,92,36.57,75.97,220,-9.95,-4.39,14.15,49.69
73,94,38.47,39.43,314,5.91,0.22,14.3,82.42
63,91,36.29,78.23,477,-2.93,8.3,0.0,84.56
82,91,36.26,26.69,81,-8.73,-9.01,7.41,59.34
106,96,37.82,27.79,493,-4.08,6.22,15.85,64.5
70,99,36.8,83.09,241,-3.57,-8.69,6.11,75.11
66,99,36.49,57.86,252,0.46,-7.46,3.64,82.53
79,99,36.04,70.32,51,3.22,-7.61,5.97,68.52
106,95,37.8,35.77,320,4.98,9.88,17.48,55.56
107,93,37.86,31.64,38,-5.08,-6.4,20.81,53.49
77,94,37.2,78.45,464,-3.56,7.94,7.26,76.98
70,90,38.37,45.1,258,-3.83,9.82,13.78,73.78
111,96,36.45,51.85,425,-2.75,-2.32,10.72,66.92
93,97,36.16,21.96,326,9.99,2.62,6.63,64.88
107,98,37.53,47.01,410,5.56,5.58,15.46,61.33
96,97,37.78,73.93,411,9.5,-2.15,14.47,66.24
112,94,36.17,77.49,491,3.86,-6.76,8.86,61.07
93,92,35.73,68.91,437,-1.87,-1.32,3.38,78.4
68,99,37.93,68.45,478,-2.21,5.44,8.98,86.39
59,98,38.43,55.44,270,-0.23,5.62,11.75,88.89
89,95,37.43,57.68,436,-1.66,-5.39,11.11,75.76
72,94,36.33,71.98,495,6.57,-6.5,1.62,78.22
63,92,38.49,37.31,71,-0.7,8.41,14.84,78.99
112,95,38.18,36.21,69,-4.09,-9.12,23.11,49.53
71,92,37.04,86.49,219,5.5,4.69,7.71,76.65
61,99,37.98,21.94,3,7.09,-9.07,12.55,70.17
100,95,37.95,29.76,349,-1.59,6.76,16.75,66.96
67,93,38.3,59.92,490,3.36,8.11,10.52,82.54
94,91,38.02,71.65,400,-8.82,-4.05,15.41,65.55
96,97,37.43,57.65,289,0.59,-8.52,13.97,66.85
